# cmip6: regional means at warming levels for individual models - SM_total
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_total
# variable: mrso
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,Lmon,gr1,mrso,2.26,4.14,8.13,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,Lmon,gr1,mrso,7.74,,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,Lmon,gr1,mrso,6.31,7.6,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp370,Lmon,gr1,mrso,6.33,7.32,9.77,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp585,Lmon,gr1,mrso,7.17,9.2,10.03,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,Lmon,gr,mrso,1.08,1.15,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,Lmon,gr,mrso,0.98,0.53,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,Lmon,gr,mrso,1.14,1.23,1.58,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,Lmon,gr,mrso,1.55,1.57,2.56,2.61
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,Lmon,gr,mrso,1.13,1.81,2.33,3.13
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,Lmon,gn,mrso,-0.03,,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,Lmon,gn,mrso,1.41,-1.04,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,Lmon,gn,mrso,0.76,-1.49,-2.62,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,Lmon,gn,mrso,0.29,0.47,-2.1,
-4,global,Global,MIROC6,r1i1p1f1,ssp126,Lmon,gn,mrso,1.81,,,
-4,global,Global,MIROC6,r1i1p1f1,ssp245,Lmon,gn,mrso,1.78,1.24,,
-4,global,Global,MIROC6,r1i1p1f1,ssp370,Lmon,gn,mrso,1.73,1.53,,
-4,global,Global,MIROC6,r1i1p1f1,ssp585,Lmon,gn,mrso,1.36,1.11,1.53,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,Lmon,gn,mrso,4.29,,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,Lmon,gn,mrso,4.86,5.29,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,Lmon,gn,mrso,5.44,6.3,11.26,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,Lmon,gn,mrso,5.31,7.42,12.32,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,Lmon,gn,mrso,3.36,,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,Lmon,gn,mrso,2.85,4.29,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,Lmon,gn,mrso,3.78,4.61,5.21,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,Lmon,gn,mrso,3.58,4.22,8.17,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,Lmon,gn,mrso,-8.5,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,Lmon,gn,mrso,-7.92,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,Lmon,gn,mrso,-8.79,-9.22,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,Lmon,gn,mrso,-8.55,-8.94,-11.46,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,Lmon,gn,mrso,-8.7,-9.53,-11.51,-13.6
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp245,Lmon,gn,mrso,6.21,8.22,,
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp370,Lmon,gn,mrso,6.49,8.47,,
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp585,Lmon,gn,mrso,6.6,8.49,14.09,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,Lmon,gn,mrso,4.45,5.62,,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,Lmon,gn,mrso,4.25,6.52,10.31,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,Lmon,gn,mrso,3.81,5.61,9.0,
-4,global,Global,TaiESM1,r1i1p1f1,ssp126,Lmon,gn,mrso,7.29,10.6,,
-4,global,Global,TaiESM1,r1i1p1f1,ssp245,Lmon,gn,mrso,7.39,10.68,16.13,
-4,global,Global,TaiESM1,r1i1p1f1,ssp370,Lmon,gn,mrso,7.8,10.65,15.62,21.1
-4,global,Global,TaiESM1,r1i1p1f1,ssp585,Lmon,gn,mrso,8.31,10.76,16.12,20.94
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,Lmon,gn,mrso,-2.61,-5.24,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,Lmon,gn,mrso,-2.92,-5.39,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,Lmon,gn,mrso,-2.42,-4.69,-8.12,-10.77
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,Lmon,gn,mrso,-2.43,-4.2,-7.15,-9.56
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,Lmon,gn,mrso,-1.93,-3.87,-7.17,-9.65
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,Lmon,gn,mrso,-1.52,-2.57,,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,Lmon,gn,mrso,-1.3,-2.11,-3.74,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,Lmon,gn,mrso,-1.39,-2.45,-4.01,-5.53
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,Lmon,gn,mrso,-1.8,-2.1,-3.98,-5.31
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,Lmon,gn,mrso,-2.79,-3.22,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,Lmon,gn,mrso,-1.39,-2.22,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,Lmon,gn,mrso,-2.14,-2.22,-4.94,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,Lmon,gn,mrso,-2.48,-2.58,-4.74,-7.78
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,Lmon,gn,mrso,,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,Lmon,gn,mrso,,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,Lmon,gn,mrso,,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,Lmon,gn,mrso,,,,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp126,Lmon,gn,mrso,0.54,0.89,,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp245,Lmon,gn,mrso,0.44,0.7,1.67,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp370,Lmon,gn,mrso,0.55,1.67,2.07,2.74
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp585,Lmon,gn,mrso,1.15,0.93,1.9,3.0
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp126,Lmon,gn,mrso,1.07,1.07,,
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp245,Lmon,gn,mrso,1.0,1.54,2.29,
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp370,Lmon,gn,mrso,0.75,0.75,1.16,1.97
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp585,Lmon,gn,mrso,0.43,0.59,1.79,2.01
-3,ocean,Ocean,CIESM,r1i1p1f1,ssp245,Lmon,gr,mrso,,,,
-3,ocean,Ocean,CIESM,r1i1p1f1,ssp585,Lmon,gr,mrso,,,,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,Lmon,gn,mrso,0.23,0.24,,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,Lmon,gn,mrso,-0.38,-0.54,-1.28,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,Lmon,gn,mrso,-0.15,-0.25,-0.64,-1.64
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,Lmon,gn,mrso,-0.49,-0.74,-1.05,-1.68
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,Lmon,gr,mrso,-1.39,-3.13,,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,Lmon,gr,mrso,-0.22,-2.34,-6.18,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,Lmon,gr,mrso,-0.85,-1.65,-3.19,-6.47
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,Lmon,gr,mrso,-0.59,-1.47,-3.39,-5.75
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,Lmon,gr,mrso,-0.22,-1.07,,
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp245,Lmon,gr,mrso,-0.42,-1.34,-5.02,
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp370,Lmon,gr,mrso,-0.43,-1.89,-4.42,-9.27
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,Lmon,gr,mrso,-0.65,-1.83,-4.15,-7.75
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,Lmon,gr,mrso,-8.04,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,Lmon,gr,mrso,-5.57,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,Lmon,gr,mrso,-6.36,-8.38,-12.61,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,Lmon,gr,mrso,-7.13,-8.4,-10.7,-13.75
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,Lmon,gr,mrso,-6.06,-7.19,-9.0,-11.69
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,Lmon,gn,mrso,-1.33,-1.01,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,Lmon,gn,mrso,-0.8,-1.25,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,Lmon,gn,mrso,-1.26,-2.12,-2.22,-2.65
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,Lmon,gn,mrso,-1.14,-1.5,-2.68,-3.79
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,Lmon,gn,mrso,-1.1,-0.89,-2.62,-3.08
-3,ocean,Ocean,CanESM5-CanOE,r1i1p2f1,ssp126,Lmon,gn,mrso,-1.13,-1.26,,
-3,ocean,Ocean,CanESM5-CanOE,r1i1p2f1,ssp245,Lmon,gn,mrso,-1.13,-0.98,-2.42,-3.45
-3,ocean,Ocean,CanESM5-CanOE,r1i1p2f1,ssp370,Lmon,gn,mrso,-1.54,-2.54,-2.76,-4.19
-3,ocean,Ocean,CanESM5-CanOE,r1i1p2f1,ssp585,Lmon,gn,mrso,-1.5,-1.99,-2.74,-3.54
-3,ocean,Ocean,E3SM-1-1,r1i1p1f1,ssp585,Lmon,gr,mrso,0.51,0.79,0.57,0.25
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp126,Lmon,gr,mrso,-5.13,-5.11,,
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp245,Lmon,gr,mrso,-5.28,-5.31,-5.64,
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp370,Lmon,gr,mrso,-4.81,-5.16,-5.28,-5.18
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp585,Lmon,gr,mrso,-4.34,-4.57,-4.93,-6.52
-3,ocean,Ocean,EC-Earth3-AerChem,r1i1p1f1,ssp370,Lmon,gr,mrso,-5.68,-5.77,-5.28,-5.12
-3,ocean,Ocean,EC-Earth3-CC,r1i1p1f1,ssp245,Lmon,gr,mrso,,,,
-3,ocean,Ocean,EC-Earth3-CC,r1i1p1f1,ssp585,Lmon,gr,mrso,,,,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp119,Lmon,gr,mrso,-4.57,-4.81,,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp126,Lmon,gr,mrso,-4.65,-4.42,,
