# cmip6: regional means at warming levels for individual models - TNn
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TNn
# variable: tasmin
# units: °C
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,tasmin,1.81,2.46,3.55,
-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp585,day,gn,tasmin,1.88,2.45,3.5,
-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp126,day,gn,tasmin,1.79,,,
-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp245,day,gn,tasmin,1.86,2.39,,
-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp370,day,gn,tasmin,1.83,2.43,3.47,
-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp585,day,gn,tasmin,1.86,2.39,3.47,
-3,ocean,Ocean,MRI-ESM2-0,r1i1p1f1,ssp119,day,gn,tasmin,1.89,,,
-3,ocean,Ocean,MRI-ESM2-0,r1i1p1f1,ssp126,day,gn,tasmin,1.87,,,
-3,ocean,Ocean,MRI-ESM2-0,r1i1p1f1,ssp245,day,gn,tasmin,1.85,2.54,,
-3,ocean,Ocean,MRI-ESM2-0,r1i1p1f1,ssp370,day,gn,tasmin,1.95,2.59,3.77,
-3,ocean,Ocean,MRI-ESM2-0,r1i1p1f1,ssp585,day,gn,tasmin,1.95,2.54,3.74,5.03
-3,ocean,Ocean,NESM3,r1i1p1f1,ssp126,day,gn,tasmin,1.81,2.39,,
-3,ocean,Ocean,NESM3,r1i1p1f1,ssp245,day,gn,tasmin,1.83,2.36,,
-3,ocean,Ocean,NESM3,r1i1p1f1,ssp585,day,gn,tasmin,1.73,2.3,3.46,4.53
-3,ocean,Ocean,NorESM2-MM,r1i1p1f1,ssp245,day,gn,tasmin,1.33,1.81,,
-3,ocean,Ocean,NorESM2-MM,r1i1p1f1,ssp370,day,gn,tasmin,1.28,1.78,2.77,
-3,ocean,Ocean,NorESM2-MM,r1i1p1f1,ssp585,day,gn,tasmin,1.31,1.78,2.78,
-3,ocean,Ocean,UKESM1-0-LL,r1i1p1f2,ssp119,day,gn,tasmin,1.88,2.34,,
-3,ocean,Ocean,UKESM1-0-LL,r1i1p1f2,ssp126,day,gn,tasmin,1.88,2.34,,
-3,ocean,Ocean,UKESM1-0-LL,r1i1p1f2,ssp245,day,gn,tasmin,1.9,2.39,3.39,4.58
-3,ocean,Ocean,UKESM1-0-LL,r1i1p1f2,ssp370,day,gn,tasmin,1.87,2.37,3.42,4.48
-3,ocean,Ocean,UKESM1-0-LL,r1i1p1f2,ssp585,day,gn,tasmin,1.88,2.39,3.44,4.53
-2,land,Land,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,tasmin,2.42,3.4,,
-2,land,Land,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,tasmin,2.46,3.34,4.86,
-2,land,Land,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,tasmin,2.53,3.37,4.88,6.64
-2,land,Land,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,tasmin,2.52,3.2,4.92,6.68
