# cmip6: regional means at warming levels for individual models - SM_top
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_top
# variable: mrsos
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,Lmon,gr,mrsos,-1.37,-2.03,-2.57,-3.42
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,Lmon,gr,mrsos,-2.73,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,Lmon,gr,mrsos,-2.03,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,Lmon,gr,mrsos,-2.18,-2.7,-3.89,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,Lmon,gr,mrsos,-2.6,-2.81,-3.21,-4.21
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,Lmon,gr,mrsos,-2.49,-2.55,-3.03,-3.93
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,Lmon,gn,mrsos,-2.04,-1.81,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.52,-2.07,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.99,-2.94,-3.86,-4.71
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.9,-2.29,-3.92,-5.85
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.82,-1.69,-4.26,-5.41
-3,ocean,Ocean,CanESM5-CanOE,r1i1p2f1,ssp126,Lmon,gn,mrsos,-1.54,-2.02,,
-3,ocean,Ocean,CanESM5-CanOE,r1i1p2f1,ssp245,Lmon,gn,mrsos,-1.66,-1.93,-3.79,-5.45
