# cmip6: regional means at warming levels for individual models - CDD
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: CDD
# variable: pr
# units: day
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
163,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,day,gr,pr,2.22,3.18,3.62,5.36
164,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,day,gn,pr,2.29,1.59,,
165,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,day,gn,pr,2.24,1.95,,
166,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,day,gn,pr,2.28,2.09,2.11,2.0
167,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,day,gn,pr,2.35,2.18,2.68,2.9
168,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,day,gn,pr,2.34,1.99,2.16,2.45
169,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp126,day,gr,pr,1.63,1.59,,
170,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp245,day,gr,pr,1.6,1.78,2.41,
171,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp370,day,gr,pr,1.56,2.13,2.64,3.0
172,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp585,day,gr,pr,1.66,1.9,2.42,2.9
173,-3,ocean,Ocean,EC-Earth3-AerChem,r1i1p1f1,ssp370,day,gr,pr,2.47,3.23,3.95,4.04
174,-3,ocean,Ocean,EC-Earth3-CC,r1i1p1f1,ssp245,day,gr,pr,1.2,1.67,2.32,
175,-3,ocean,Ocean,EC-Earth3-CC,r1i1p1f1,ssp585,day,gr,pr,1.21,1.95,3.13,3.32
176,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp119,day,gr,pr,1.24,1.12,,
177,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp126,day,gr,pr,1.29,1.69,,
178,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp245,day,gr,pr,1.42,1.61,2.07,
179,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp370,day,gr,pr,1.37,1.58,2.35,2.71
180,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp585,day,gr,pr,1.29,1.6,2.64,3.1
181,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,day,gr,pr,1.67,,,
182,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,day,gr,pr,1.48,,,
183,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,day,gr,pr,1.36,1.96,1.95,
184,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,1.75,2.08,3.1,3.79
185,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,1.8,2.24,3.09,3.79
186,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,-0.64,-0.81,,
187,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,-0.59,-0.93,-1.22,
188,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp585,day,gn,pr,-0.7,-0.85,-1.65,
189,-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,pr,1.32,1.12,,
190,-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,pr,1.37,1.73,2.55,3.13
191,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,pr,2.08,2.19,,
192,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,pr,2.71,3.39,4.09,
193,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,pr,2.24,2.99,3.66,
194,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,pr,1.22,1.29,,
195,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,pr,1.58,1.72,2.29,
196,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,pr,1.52,1.43,1.99,2.91
197,-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,pr,1.53,1.36,,
