# cmip6: multi-model-median regional means at warming levels - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
133,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.26,1.7,2.54,
134,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.29,1.7,2.55,3.4
135,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.27,1.66,2.58,3.47
136,-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.17,1.6,,
137,-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.18,1.58,2.49,3.37
138,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,txx_reg_ave_ar6,day,gr,tasmax,1.33,,,
139,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.32,,,
140,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.32,1.8,2.6,
141,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.32,1.81,2.68,3.53
142,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.3,1.75,2.62,3.56
143,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,txx_reg_ave_ar6,day,gn,tasmax,1.25,1.59,,
